name              ,type      ,strDefault       ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
clientVersion     ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,1   ,     ,        ,the version string as reported by the rpcProvider
clientIds         ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,2   ,     ,        ,netword_id and chain_id from the rpcProvider
trueblocksVersion ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,3   ,     ,        ,the TrueBlocks version string
rpcProvider       ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,4   ,     ,        ,the current rpcProvider
configPath        ,string    ,                 ,       ,      ,true    ,          ,        ,      ,         ,6   ,     ,        ,the path to config files
cachePath         ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,7   ,     ,        ,the path to the local binary caches
indexPath         ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,8   ,     ,        ,the path to the local binary indexes
host              ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,9   ,     ,        ,the host portion of the local API server
isTesting         ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,10  ,     ,        ,`true` if the server is running in test mode
isApi             ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,11  ,     ,        ,`true` if the server is running in API mode
isDocker          ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,12  ,     ,        ,`true` if running under a docker image
isScraping        ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,13  ,     ,        ,`true` if the index scraper is running
isArchive         ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,14  ,     ,        ,`true` if the rpcProvider is an archive node
isTracing         ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,15  ,     ,        ,`true` if the rpcProvider provides Parity traces
hasEskey          ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,16  ,     ,        ,`true` if an EtherScan key is present
hasPinkey         ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,17  ,     ,        ,`true` if a Pinata API key is present
ts                ,timestamp ,date_2_Ts(Now()) ,       ,      ,true    ,          ,        ,      ,         ,18  ,     ,        ,the timestamp when this status data was produced
caches            ,cachePtr  ,                 ,true   ,true  ,true    ,          ,        ,      ,         ,    ,     ,        ,a collection of information concerning the binary caches
