chain_name ,chain_type ,rpc_provider                                                  ,chain_id   ,symbol ,remote_explorer                               ,ipfs_gateway
mainnet    ,mainnet    ,http://localhost:8545                                         ,1          ,ETH    ,https://etherscan.io                          ,https://mainnet.unchainedindex.io
ropsten    ,testnet    ,https://ropsten.infura.io/v3/9aa3d95b3bc440fa88ea12eaa4456161 ,3          ,ETH    ,https://ropsten.etherscan.io                  ,https://ropsten.unchainedindex.io
rinkeby    ,testnet    ,https://rinkeby-light.eth.linkpool.io                         ,4          ,ETH    ,https://rinkeby.etherscan.io                  ,https://rinkeby.unchainedindex.io
goerli     ,testnet    ,https://goerli-light.eth.linkpool.io                          ,5          ,ETH    ,https://goerli.etherscan.io                   ,https://goerli.unchainedindex.io
kovan      ,testnet    ,https://kovan.poa.network                                     ,42         ,ETH    ,https://kovan.etherscan.io                    ,https://kovan.unchainedindex.io
gnosis     ,mainnet    ,https://rpc.gnosischain.com                                   ,100        ,XDAI   ,https://blockscout.com/xdai/mainnet           ,https://gnosis.unchainedindex.io
#bsc       ,mainnet    ,https://bsc-dataseed.binance.org                              ,56         ,BNB    ,https://bscscan.com                           ,
#bsc       ,testnet    ,https://data-seed-prebsc-1-s1.binance.org:8545                ,97         ,BNB    ,https://testnet.bscscan.com                   ,
polygon    ,mainnet    ,https://polygon-rpc.com                                       ,137        ,MATIC  ,https://polygonscan.com                       ,
polygon    ,testnet    ,https://rpc-mumbai.maticvigil.com                             ,80001      ,MATIC  ,https://mumbai.polygonscan.com                ,
optimism   ,mainnet    ,https://mainnet.optimism.io                                   ,10         ,OPT    ,https://optimistic.etherscan.io               ,
#ubiq      ,mainnet    ,https://rpc.octano.dev                                        ,8          ,UBQ    ,https://ubiqscan.io                           ,
#fuse      ,mainnet    ,https://rpc.fuse.io                                           ,122        ,FUSE   ,https://explorer.fuse.io                      ,
#avax      ,mainnet    ,https://api.avax.network/ext/bc/C/rpc                         ,43114      ,AVAX   ,https://snowtrace.io                          ,
#avax      ,testnet    ,https://api.avax-test.network/ext/bc/C/rpc                    ,43113      ,AVAX   ,https://testnet.explorer.avax.network         ,
#fantom    ,mainnet    ,https://rpc.ftm.tools                                         ,250        ,FTM    ,https://ftmscan.com                           ,
#fantom    ,testnet    ,https://rpc.testnet.fantom.network                            ,4002       ,FTM    ,https://testnet.ftmscan.com                   ,
#harmony   ,mainnet    ,https://api.harmony.one                                       ,1666600000 ,ONE    ,https://explorer.harmony.one                  ,
#harmony   ,testnet    ,https://api.s0.b.hmny.io                                      ,1666700000 ,ONE    ,https://explorer.harmony.one                  ,
#heco      ,mainnet    ,https://http-mainnet-node.huobichain.com                      ,128        ,HT     ,https://hecoinfo.com                          ,
#heco      ,testnet    ,https://http-testnet.hecochain.com                            ,256        ,HT     ,https://testnet.hecoinfo.com                  ,
#kcc       ,mainnet    ,https://rpc-mainnet.kcc.network                               ,321        ,KCS    ,https://scan.kcc.network                      ,
#kcc       ,testnet    ,https://scan-testnet.kcc.network                              ,322        ,tKCS   ,https://scan-testnet.kcc.network              ,
#elastos   ,mainnet    ,https://api.elastos.io/eth                                    ,20         ,ELA    ,https://explorer.elaeth.io                    ,
#cronos    ,mainnet    ,https://evm-cronos.crypto.org                                 ,25         ,CRO    ,https://cronos.crypto.org/explorer            ,
#moonriver ,mainnet    ,https://rpc.moonriver.moonbeam.network                        ,1285       ,MOVR   ,https://blockscout.moonriver.moonbeam.network ,
#okexchain ,mainnet    ,https://exchainrpc.okex.org                                   ,66         ,OKT    ,https://www.oklink.com/okexchain              ,
#telos     ,mainnet    ,https://mainnet.telos.net/evm                                 ,40         ,TLOS   ,https://telos.net                             ,
#nahmii    ,mainnet    ,https://l2.nahmii.io                                          ,5551       ,ETH    ,https://explorer.nahmii.io                    ,
#nahmii    ,testnet    ,https://l2.testnet.nahmii.io                                  ,5553       ,ETH    ,https://explorer.testnet.nahmii.io            ,
#iotex     ,mainnet    ,https://babel-api.mainnet.iotex.io                            ,4689       ,IOTEX  ,https://iotexscan.io                          ,
#hoo       ,mainnet    ,https://http-mainnet.hoosmartchain.com                        ,70         ,HOO    ,https://hooscan.com                           ,
