address,balance
0x0000000000000000000000000000000000000001,0x1
0x0000000000000000000000000000000000000002,0x1
0x0000000000000000000000000000000000000003,0x1
0x0000000000000000000000000000000000000004,0x1
0x0000000000000000000000000000000000000005,0x1
0x0000000000000000000000000000000000000006,0x1
0x0000000000000000000000000000000000000007,0x1
0x0000000000000000000000000000000000000008,0x1
0x0000000000000000000000000000000000000009,0x1
0x42D5d120aD9c1692c5Fa72DcA20657254bbAa08D,1000000000000000000000000
0x3EC60Da1858eC7fA8EDD0dc736611Dba9ab43999,1000000000000000000000000
0x3a03F6D88437328CE8623EF5e80C67383704eBc1,1000000000000000000000000
